编号	称号	名字	稀有度	种类	属性	阵营	类型	武器	所属	实装日期
044003	反転せし白き終末	プリムラ	★2	活动卡	雷	魔族	HEAL	魔法	流星学园附属	2026.05.31
095003	聖杯の真魔法少女	シズハ《心願》	★3	常驻卡	雷	人族	ATK	魔法	流星学园附属	2026.06.05
062003	日傘の花嫁探偵	ジュエリー	★3	常驻卡	火	人族	HEAL	魔法	流星学园	2026.06.10
065004	永遠のティアーモ	イレーナ	★3	常驻卡	火	人族	SPD	魔法	流星学园	2026.06.10
124001	円環の守護天使	ラクシャ	★3	限定卡	雷	神族	SPD	斩击	守护天使/新星学园	2026.06.29
114001	新たなる女神の器	ルヴィネ	★3	限定卡	光	神族	ATK	魔法	极星学园	2026.07.07
115001	大欲の女帝	煌嶺	★3	限定卡	火	魔族	ATK	魔法	无	2026.07.07
041005	アビストリガー	ネーゼマイン《悪戯》	★3	限定卡	暗	神族/人族	SUP	打击	新星学园	2026.07.13
047003	サーヴァントノヴァ	メルエル《極光》	★3	限定卡	光	神族/魔族	ATK	斩击	新星学园	2026.07.13
071002	浜辺のハンター	キサナ	★3	活动卡	光	魔族	SPD	打击	坍缩星	2026.07.17
121002	潮騒のコラプサー	レイラ	★3	常驻卡	光	人族	ATK	魔法	坍缩星	2026.07.17
088002	バキバキシスター	リーナ	★3	常驻卡	光	人族	DEF	打击	坍缩星	2026.07.21
027003	ビーチウィザード	コハルコ	★3	常驻卡	暗	魔族	HEAL	打击	新星学园	2026.07.28
101002	豪快フィッシャー	シルヴィ	★3	常驻卡	暗	神族	SPD	打击	新星学园	2026.07.28
096002	最強狙う水着剣士	イングリット	★3	常驻卡	暗	神族	ATK	斩击	坍缩星	2026.08.10
